District,State,Area_km2,Population
Supaul,Bihar,2425.00,2741239.00
Surat,Gujarat,4549.00,2741239.00
Surendranagar,Gujarat,10423.00,2741239.00
Surguja,Chhattisgarh,15732.00,2741239.00
Tamenglong,Manipur,4391.00,2741239.00
Tapi,Gujarat,3139.00,2741239.00
Tarn Taran,Punjab,2414.00,2741239.00
Tawang,Arunachal Pradesh,2172.00,2741239.00
Tehri Garhwal,Uttarakhand,3642.00,2741239.00
Thane,Maharashtra,9558.00,2741239.00
Thanjavur,Tamil Nadu,3411.00,2741239.00
The Dangs,Gujarat,1766.00,2741239.00
The Nilgiris,Tamil Nadu,2565.00,2741239.00
Theni,Tamil Nadu,2868.00,2741239.00
Thiruvallur,Tamil Nadu,3394.00,2741239.00
Thiruvananthapuram,Kerala,2189.00,2741239.00
Thiruvarur,Tamil Nadu,2274.00,2741239.00
Thoothukkudi,Tamil Nadu,4745.00,2741239.00
Thoubal,Manipur,514.00,2741239.00
Thrissur,Kerala,3027.00,2741239.00
Tikamgarh,Madhya Pradesh,5048.00,2741239.00
Tinsukia,Assam,3790.00,2741239.00
Tirap,Arunachal Pradesh,2362.00,2741239.00
Tiruchirappalli,Tamil Nadu,4509.00,2741239.00
Tirunelveli,Tamil Nadu,6693.00,2741239.00
Tiruppur,Tamil Nadu,5187.00,2741239.00
Tiruvannamalai,Tamil Nadu,6188.00,2741239.00
Tonk,Rajasthan,7194.00,2741239.00
Tuensang,Nagaland,2536.00,2741239.00
Tumkur,Karnataka,10597.00,2741239.00
Udaipur,Rajasthan,11724.00,2741239.00
Udalguri,Assam,2012.00,2741239.00
Udham Singh Nagar,Uttarakhand,2542.00,2741239.00
Udhampur,Jammu and Kashmir,2637.00,2741239.00
Udupi,Karnataka,3582.00,2741239.00
Ujjain,Madhya Pradesh,6091.00,2741239.00
Ukhrul,Manipur,4544.00,2741239.00
Umaria,Madhya Pradesh,4076.00,2741239.00
Una,Himachal Pradesh,1540.00,2741239.00
Unnao,Uttar Pradesh,4558.00,2741239.00
Upper Siang,Arunachal Pradesh,6590.00,2741239.00
Upper Subansiri,Arunachal Pradesh,7032.00,2741239.00
Uttar Dinajpur,West Bengal,3140.00,2741239.00
Uttara Kannada,Karnataka,10277.00,2741239.00
Uttarkashi,Uttarakhand,8016.00,2741239.00
Vadodara,Gujarat,7546.00,2741239.00
Vaishali,Bihar,2036.00,2741239.00
Valsad,Gujarat,3008.00,2741239.00
Varanasi,Uttar Pradesh,1535.00,2741239.00
Vellore,Tamil Nadu,6075.00,2741239.00
Vidisha,Madhya Pradesh,7371.00,2741239.00
Viluppuram,Tamil Nadu,7194.00,2741239.00
Virudhunagar,Tamil Nadu,4241.00,2741239.00
Visakhapatnam,Andhra Pradesh,11161.00,2741239.00
Vizianagaram,Andhra Pradesh,6539.00,2741239.00
Warangal,Andhra Pradesh,12846.00,2741239.00
Wardha,Maharashtra,6309.00,2741239.00
Washim,Maharashtra,4898.00,2741239.00
Wayanad,Kerala,2130.00,2741239.00
West,#N/A,130.00,2741239.00
West District,#N/A,1166.00,2741239.00
West Garo Hills,Meghalaya,3677.00,2741239.00
West Godavari,Andhra Pradesh,7742.00,2741239.00
West Kameng,Arunachal Pradesh,7422.00,2741239.00
West Khasi Hills,Meghalaya,5247.00,2741239.00
West Siang,Arunachal Pradesh,8325.00,2741239.00
West Tripura,Tripura,2993.00,2741239.00
Wokha,Nagaland,1628.00,2741239.00
Yadgir,Karnataka,5270.00,2741239.00
Yamunanagar,Haryana,1768.00,2741239.00
Yanam,Puducherry,30.00,2741239.00
Yavatmal,Maharashtra,13582.00,2741239.00
YSR,Andhra Pradesh,15359.00,2741239.00
Zunheboto,Nagaland,1255.00,2741239.00
