District,State,Area_km2,Population
Dakshina Kannada,Karnataka,4861.00,2741239.00
Daman,Daman and Diu,72.00,2741239.00
Damoh,Madhya Pradesh,7306.00,2741239.00
Darbhanga,Bihar,2279.00,2741239.00
Darjiling,West Bengal,3149.00,2741239.00
Darrang,Assam,1585.00,2741239.00
Datia,Madhya Pradesh,2902.00,2741239.00
Dausa,Rajasthan,3432.00,2741239.00
Davanagere,Karnataka,5924.00,2741239.00
Debagarh,Orissa,2940.00,2741239.00
Dehradun,Uttarakhand,3088.00,2741239.00
Deoghar,Jharkhand,2477.00,2741239.00
Deoria,Uttar Pradesh,2540.00,2741239.00
Dewas,Madhya Pradesh,7020.00,2741239.00
Dhalai,Tripura,2400.00,2741239.00
Dhamtari,Chhattisgarh,4084.00,2741239.00
Dhanbad,Jharkhand,2040.00,2741239.00
Dhar,Madhya Pradesh,8153.00,2741239.00
Dharmapuri,Tamil Nadu,4497.00,2741239.00
Dharwad,Karnataka,4260.00,2741239.00
Dhaulpur,Rajasthan,3033.00,2741239.00
Dhemaji,Assam,3237.00,2741239.00
Dhenkanal,Orissa,4452.00,2741239.00
Dhubri,Assam,2176.00,2741239.00
Dhule,Maharashtra,7195.00,2741239.00
Dibang Valley,Arunachal Pradesh,9129.00,2741239.00
Dibrugarh,Assam,3381.00,2741239.00
Dima Hasao,Assam,4888.00,2741239.00
Dimapur,Nagaland,927.00,2741239.00
Dindigul,Tamil Nadu,6036.00,2741239.00
Dindori,Madhya Pradesh,7470.00,2741239.00
Diu,Daman and Diu,39.00,2741239.00
Doda,Jammu and Kashmir,8912.00,2741239.00
Dumka,Jharkhand,3761.00,2741239.00
Dungarpur,Rajasthan,3770.00,2741239.00
Durg,Chhattisgarh,8535.00,2741239.00
East,#N/A,63.00,2741239.00
East District,#N/A,954.00,2741239.00
East Garo Hills,Meghalaya,2603.00,2741239.00
East Godavari,Andhra Pradesh,10807.00,2741239.00
East Kameng,Arunachal Pradesh,4134.00,2741239.00
East Khasi Hills,Meghalaya,2748.00,2741239.00
East Siang,Arunachal Pradesh,3603.00,2741239.00
Ernakulam,Kerala,3063.00,2741239.00
Erode,Tamil Nadu,5760.00,2741239.00
Etah,Uttar Pradesh,2431.00,2741239.00
Etawah,Uttar Pradesh,2311.00,2741239.00
Faizabad,Uttar Pradesh,2341.00,2741239.00
Faridabad,Haryana,741.00,2741239.00
Faridkot,Punjab,1458.00,2741239.00
Farrukhabad,Uttar Pradesh,2181.00,2741239.00
Fatehabad,Haryana,2538.00,2741239.00
Fatehgarh Sahib,Punjab,1180.00,2741239.00
Fatehpur,Uttar Pradesh,4152.00,2741239.00
Firozabad,Uttar Pradesh,2407.00,2741239.00
Firozpur,Punjab,5305.00,2741239.00
Gadag,Karnataka,4657.00,2741239.00
Gadchiroli,Maharashtra,14412.00,2741239.00
Gajapati,Orissa,4325.00,2741239.00
Ganderbal,Jammu and Kashmir,259.00,2741239.00
Gandhinagar,Gujarat,2140.00,2741239.00
Ganganagar,Rajasthan,10978.00,2741239.00
Ganjam,Orissa,8206.00,2741239.00
Garhwa,Jharkhand,4093.00,2741239.00
Garhwal,#N/A,5329.00,2741239.00
Gautam Buddha Nagar,Uttar Pradesh,1282.00,2741239.00
Gaya,Bihar,4976.00,2741239.00
Ghaziabad,Uttar Pradesh,1179.00,2741239.00
Ghazipur,Uttar Pradesh,3377.00,2741239.00
Giridih,Jharkhand,4962.00,2741239.00
Goalpara,Assam,1824.00,2741239.00
Godda,Jharkhand,2266.00,2741239.00
Golaghat,Assam,3502.00,2741239.00
Gonda,Uttar Pradesh,4003.00,2741239.00
Gondiya,Maharashtra,5234.00,2741239.00
Gopalganj,Bihar,2033.00,2741239.00
Gorakhpur,Uttar Pradesh,3321.00,2741239.00
Gulbarga,Karnataka,10954.00,2741239.00
Gumla,Jharkhand,5360.00,2741239.00
Guna,Madhya Pradesh,6390.00,2741239.00
Guntur,Andhra Pradesh,11391.00,2741239.00
Gurdaspur,Punjab,3551.00,2741239.00
Gurgaon,Haryana,1258.00,2741239.00
Gwalior,Madhya Pradesh,4560.00,2741239.00
Hailakandi,Assam,1327.00,2741239.00
Hamirpur,Uttar Pradesh,1118.00,2741239.00
Hamirpur,Uttar Pradesh,4021.00,2741239.00
Hanumangarh,Rajasthan,9656.00,2741239.00
Haora,West Bengal,1467.00,2741239.00
Harda,Madhya Pradesh,3334.00,2741239.00
Hardoi,Uttar Pradesh,5986.00,2741239.00
Hardwar,#N/A,2360.00,2741239.00
Hassan,Karnataka,6814.00,2741239.00
Haveri,Karnataka,4823.00,2741239.00
Hazaribagh,Jharkhand,3555.00,2741239.00
Hingoli,Maharashtra,4827.00,2741239.00
Hisar,Haryana,3983.00,2741239.00
Hoshangabad,Madhya Pradesh,6703.00,2741239.00
Hoshiarpur,Punjab,3386.00,2741239.00
Hugli,West Bengal,3149.00,2741239.00
Hyderabad,Andhra Pradesh,217.00,2741239.00
Idukki,Kerala,4356.00,2741239.00
Imphal East,Manipur,709.00,2741239.00
Imphal West,Manipur,519.00,2741239.00
Indore,Madhya Pradesh,3898.00,2741239.00
Jabalpur,Madhya Pradesh,5211.00,2741239.00
Jagatsinghapur,Orissa,1668.00,2741239.00
Jaintia Hills,Meghalaya,3819.00,2741239.00
Jaipur,Rajasthan,11143.00,2741239.00
Jaisalmer,Rajasthan,38401.00,2741239.00
Jajapur,Orissa,2899.00,2741239.00
Jalandhar,Punjab,2624.00,2741239.00
Jalaun,Uttar Pradesh,4565.00,2741239.00
Jalgaon,Maharashtra,11765.00,2741239.00
Jalna,Maharashtra,7718.00,2741239.00
Jalor,Rajasthan,10640.00,2741239.00
Jalpaiguri,West Bengal,6227.00,2741239.00
Jammu,Jammu and Kashmir,2342.00,2741239.00
Jamnagar,Gujarat,14184.00,2741239.00
Jamtara,Jharkhand,1811.00,2741239.00
Jamui,Bihar,3098.00,2741239.00
Janjgir - Champa,#N/A,3853.00,2741239.00
Jashpur,Chhattisgarh,5838.00,2741239.00
Jaunpur,Uttar Pradesh,4038.00,2741239.00
Jehanabad,Bihar,931.00,2741239.00
Jhabua,Madhya Pradesh,3600.00,2741239.00
Jhajjar,Haryana,1834.00,2741239.00
Jhalawar,Rajasthan,6219.00,2741239.00
Jhansi,Uttar Pradesh,5024.00,2741239.00
Jharsuguda,Orissa,2114.00,2741239.00
Jhunjhunun,Rajasthan,5928.00,2741239.00
Jind,Haryana,2702.00,2741239.00
Jodhpur,Rajasthan,22850.00,2741239.00
Jorhat,Assam,2851.00,2741239.00
Junagadh,Gujarat,8831.00,2741239.00
Jyotiba Phule Nagar,Uttar Pradesh,2249.00,2741239.00
Kabirdham,Chhattisgarh,4235.00,2741239.00
Kachchh,Gujarat,45674.00,2741239.00
Kaimur,Bihar,3332.00,2741239.00
Kaithal,Haryana,2317.00,2741239.00
Kalahandi,Orissa,7920.00,2741239.00
Kamrup,Assam,3105.00,2741239.00
Kamrup Metropolitan,Assam,955.00,2741239.00
Kancheepuram,Tamil Nadu,4483.00,2741239.00
Kandhamal,Orissa,8021.00,2741239.00
Kangra,Himachal Pradesh,5739.00,2741239.00
